UserName;UserAvatar;UserProfile;Content;ScrapeTime;CreateTime;LikeCount;ReplyCount;VideoURL;Column1;Column2;Column3
nkosimleonhart;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9b1aff54815accf7d9f54b50944ee3ec~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=988128a7&x-expires=1760752800&x-signature=8sg8hiEuHJH9fXh2fJtXsdKkAqU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@nkosimleonhart;gw serius nanya,, kira2 apakah masih adakah harapan timnas ke pildun 2026, misalnya lewat playoff gt, atau memang dah habis dan pupus kah;17/10/2025 09:54;3d ago;13;25;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
Yowesssekarep;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8d2a846d5ded5486afcf3e3ac83e5c55~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a151915&x-expires=1760752800&x-signature=y%2F9te2wSDd5GFUzd%2F8%2B%2FPWGBKi4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@yowessekarep87;Dan towel mulai nyerang pak sumardji..itu tandanya towel mulai ketar ketir 😂;17/10/2025 09:54;2d ago;211;13;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
cemod;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5fc976ef32f83352b66df8422b8d29b8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1d18dea4&x-expires=1760752800&x-signature=pej%2Fk2G2P8RmQnc4tSgWhFNxPq0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@cemod27;yg aneh masak ketua PSSI minta pendapat towel akmal justin😂😂;17/10/2025 09:54;3d ago;1946;68;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
Ucok baba;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4125fc4e671bc3ba09c7f6b96d67e61e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9ac3ca0e&x-expires=1760752800&x-signature=BaNiVizxM5FtPigw9GnD34RXtZ8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@udinese5;sepertinya BAPAK ini bakal diganti deh................;17/10/2025 09:54;3d ago;49;2;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
YOHANES;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fbfc4464be5a9a663bf0f44b4e28b089~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=857e453b&x-expires=1760752800&x-signature=IezkeuvPGwGGPqN3t8V9aUjynvw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@yohanes07070;jangan ganggu petrick kuliver,kami masyarakat Indonesia mendukung petrick jadi pelatih timnas seumur hidup;17/10/2025 09:54;3d ago;25;85;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
ade617;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/141edf22c1c9ce31abee5748b7ce7a91~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9a135453&x-expires=1760752800&x-signature=amjvyupsa0GgFiYHvdLQUValWog%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@adeganteng617;pecat sumardji;17/10/2025 09:54;2d ago;5;55;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
_;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b66bbdb46282ec17ca4b98ef593f2532~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ab0d7858&x-expires=1760752800&x-signature=r1AE%2BodpIVh18JBzhAIJbvUkYlo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@467fots;pecat aja udah si Arya itu tanggung jawab;17/10/2025 09:54;3d ago;857;8;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
Xxxxx;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e07ab7003bf25ff4ea8103a3c5a2938a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1de969b5&x-expires=1760752800&x-signature=2A%2BRcf41hbzPI9jckwGCQm8dmn0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@useername_22;Kalau setelah ini pak marji yang di evaluasi berarti memang benar resol itu isinya mafia🤣;17/10/2025 09:54;2d ago;135;7;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
what;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/457070b5758ae6a4c32cbe75b185dfa9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5ea6d689&x-expires=1760752800&x-signature=PHd%2B74ecS2oD%2FAn4AatVpL7VoqY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@konohamania;Klo dia bicara begini...fix dah....pasti ada apa²....;17/10/2025 09:54;3d ago;278;10;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
leeamfish;https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/0624b0b2e5c36cf19c694f93e7aaf75f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e4877b84&x-expires=1760752800&x-signature=UC%2B1y7iCyKJ4s3Y6MceHCdY2pxk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@lee_amfish;pak Sumardji menggebu gebu, keliatan banget amarahnya sangat jelas;17/10/2025 09:54;3d ago;99;2;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
ibp;https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9a5d54db&x-expires=1760756400&x-signature=7t0TQPcYNg%2FLx5xM5J%2BnEi66UzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@ibp281;pecat kluivert.....panggil lagi STY;17/10/2025 10:03;5d ago;1385;92;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
dimas wirawan;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/526de9d0d773c6cc4a11c639c13a2685~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9f5d9f1b&x-expires=1760756400&x-signature=9kL75%2FsfDJaCco9V%2B%2FIfP0rZleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@dimaslombardi23;STY targetnya masuk piala dunia... masih dalam proses, eh diganti ?? padahal semua butuh proses!;17/10/2025 10:03;5d ago;1667;24;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
QueenAleenaWicaksono;https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/0f447726aa067c57b8ab91283cc3e3f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d0015ea&x-expires=1760756400&x-signature=Hz%2FWsDG7IblLc4IXJOLRTIiqK%2BQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@queenaleenawicaksono;pertandingan lawan Irak baru sadar , kemarin lawan arab kenapa pakai pemain tarkam !! 😭;17/10/2025 10:03;5d ago;8;6;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
🤍S A🤍;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/18f4ac05a72dc98dce75d6aa8494d522~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=39542e3f&x-expires=1760756400&x-signature=y51CpLicbK8bCSTb2gCMN%2Fx5Wls%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@pelors0306;Erick Thohir out.. Patrick out;17/10/2025 10:03;5d ago;315;11;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
🎖️𝑴𝑼𝑺 𝑶𝑴𝑨𝑹🎖️;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1389cc5a92f213431051e8d46996416d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f319e6d7&x-expires=1760756400&x-signature=hx6AV1%2F8rFuYw%2B3geW3jgtjk9w0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@mus.omar94;Target netizen fomo 1.masuk pildun 2.angkat pildun 3.gk mau ikuti proses 4.setiap tanding wajib menang 5.pelatih wajib sty;17/10/2025 10:03;4d ago;9;19;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
jy~🔵🔴;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/079eabb2b2989a96e4011fcf59153b15~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=648d956e&x-expires=1760756400&x-signature=w8VRjO7obpH2hGndj6SxFWCIzp4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@bang_ji8;tidak mungkin juga sty bisa menurut gw Kluivert yang terbaik;17/10/2025 10:03;4d ago;4;6;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
user17374787819325;https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9a5d54db&x-expires=1760756400&x-signature=7t0TQPcYNg%2FLx5xM5J%2BnEi66UzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@user17374787819325;pecat Erik Tohir karena karena ganti pelatih;17/10/2025 10:03;5d ago;291;18;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Ki Jambrong;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4babdcce7112273c193ea6f6d5ce7173~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1f9e47ff&x-expires=1760756400&x-signature=vmyXOWS%2FePH2940locZ%2FXYXa2pY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@ki.jambrong4;masing mending sty ga mau di sogok mafia pas melawan Arab makanya bisa menang ga kaya sekarang, ingat brow lawan kita duit ☺;17/10/2025 10:03;5d ago;349;52;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
...;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b73d5032f114b52e51740b3a8f330cc2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e4575eb9&x-expires=1760756400&x-signature=7IascT5ntyyDeraHFP%2FDpQQatMA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@kangkomen78;lebih percaya omongan gusdur.bisa jadi kita lolos di pimpin pelatih mata sipit;17/10/2025 10:03;4d ago;49;2;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
rifkyy;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dbb0c9868e8566854981b852ca57a255~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a7c0bc97&x-expires=1760756400&x-signature=zA3MfLqQivMzjAlyWRbGSX0E%2FYI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@rfkyywjy;#PATRICK KLUIVERT OUT #BACK STY;17/10/2025 10:03;4d ago;14;4;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Kobo kan ?;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d2cbac9182a85ae55911eaa4ccd256a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9f3eae80&x-expires=1760756400&x-signature=P%2FAd0lPbbK3ae0o%2F2wVJnYZowDM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@kobokannnnn;LEBIH BAIK KALAH BERSAMA STY, DARIPADA BELIAU;17/10/2025 10:03;5d ago;154;7;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Afu Kemhay;https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9a5d54db&x-expires=1760756400&x-signature=7t0TQPcYNg%2FLx5xM5J%2BnEi66UzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@afu.kemhay;yg Salah dari PETRIK salah pasang pemain waktu lawan Arab Saudi.;17/10/2025 10:03;5d ago;25;5;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
KR Group;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a8059c98bb8f73da5898c6af6df426d9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8e55dc4d&x-expires=1760756400&x-signature=dnOlg2ZxPqoTpsJuSa7WD2FchBY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@kedairahmad;Erick tohir dan towel, hasil kinerja decul nih;17/10/2025 10:03;5d ago;126;5;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Mastungir;https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9a5d54db&x-expires=1760756400&x-signature=7t0TQPcYNg%2FLx5xM5J%2BnEi66UzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@mastungir;seharusnya sty di ganti saat kualifikasi piala Dunia 2026 selesai.;17/10/2025 10:03;2d ago;0;1;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
anenbj;https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/7186707770916208667~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=699b4d80&x-expires=1760756400&x-signature=vQHs7HLt%2FOKJKS9sGDOyofgYNBE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@anenbj;euforia Masuk piala Dunia berakhir.. kini kita Tunggu eforia Tangkap Jokowi.. ADILI👍👍;17/10/2025 10:03;4d ago;12;15;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
red V A R I O 🍻;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f425f56c9c84d130a123678e14fccd6c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=711832f6&x-expires=1760756400&x-signature=RnYxISK%2FvSluGGlL9fHvGsRJbHg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@viiiiiiiin_84;#out Patrick Kluivert..;17/10/2025 10:03;4d ago;13;4;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Irto;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/04f44a61984e2c1bb89b039e798f7b7d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ac5c20ac&x-expires=1760756400&x-signature=VkIlRh7sz8lOixupGOqDileesvA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@irto26;Sebenarnya simpel si, pas lawan Arab kan sdh cetak 1 gol lebih dl, mestinya lgsg main bertahan tinggalkan 1 striker didpan. jelek2 paling kebobolan 1 jd posisi masih imbang. Nah kan dpt poin;17/10/2025 10:03;4d ago;5;3;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Miswandi Alfaris;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/93871a49926bb244ced71546a58ab97b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=65f1ee1f&x-expires=1760756400&x-signature=bM%2Beb%2B8twPvClmRNUjLhu8hNqX4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@miswandi.alfaris;yang bisa disalahkan disini orang yang ganti pelatih sty kemaren;17/10/2025 10:03;5d ago;43;3;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
awai;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/550c0ec3e3b9fc5503bd161df813c4ac~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=89ff7ea3&x-expires=1760756400&x-signature=YQU2mMZl4TfJvfXrey4zJv%2BM9yM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@adew499;kluvert hebat dan sukses tdk meloloskan indonesia ke pildun;17/10/2025 10:03;5d ago;30;4;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
Laweun;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9bd2b8774a66917833b25057dc8b7daf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=61710b69&x-expires=1760756400&x-signature=RMsFEvzbAC%2BD3HotEyPi%2BoVkgTE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@laweun8;Saya ingin melihat apakah Menpora berani memanggil Ketua PSSI....;17/10/2025 10:03;4d ago;4;4;https://www.tiktok.com/@kompastv.indonesia/video/7560151996221705488?q=berita%20timnas%20indonesia&t=1760668955857;;;
buyung Jaya mandiri;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b046c463da03492f8e5a091288ed566d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=36ded767&x-expires=1760756400&x-signature=JIu8ldWEhBOqqy%2BKm46AACA6Pbg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@komring321;gara gara blunder rizky ridho;17/10/2025 10:40;3d ago;197;267;https://www.tiktok.com/@inilahcom/video/7560280378875940107?q=berita%20timnas%20indonesia&t=1760671687281;;;
jelek lu kaya pantat ayam;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c31f5029df808b705e9080e810604ec7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=76195ee7&x-expires=1760756400&x-signature=ySLyFPY2sQ6IsVkyUMkrqocSXbA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@iyalaja932;indo kalah gara gara blunder Rizky ridho;17/10/2025 10:40;3d ago;15;29;https://www.tiktok.com/@inilahcom/video/7560280378875940107?q=berita%20timnas%20indonesia&t=1760671687281;;;
